Data,Texto
"2025-11-25 12:02:58","O valor da semana pasada 78 , valor esta semana 9, valor resultado : True y valor probabilidad 56,55 "
"2025-11-25 12:46:54","O valor da semana pasada 20 , valor esta semana 30, valor resultado : False y valor probabilidad 44,35 "
"2025-11-25 12:49:09","O valor da semana pasada 40 , valor esta semana 50, valor resultado : True y valor probabilidad 50,67 "
"2025-11-25 13:24:54","O valor da semana pasada 122 , valor esta semana 12, valor resultado : False y valor probabilidad 46,04 "
"2025-11-25 13:26:41","O valor da semana pasada 123 , valor esta semana 32, valor resultado : True y valor probabilidad 73,37 "
"2025-11-25 13:28:23","O valor da semana pasada 123 , valor esta semana 32, valor resultado : True y valor probabilidad 73,37 "
"2025-11-25 13:33:47","O valor da semana pasada 122 , valor esta semana 12, valor resultado : False y valor probabilidad 46,04 "
"2025-11-25 13:35:05","O valor da semana pasada 122 , valor esta semana 12, valor resultado : False y valor probabilidad 46,04 "
"2025-11-25 13:36:20","O valor da semana pasada 122 , valor esta semana 32, valor resultado : True y valor probabilidad 52,07 "
"2025-11-25 13:56:38","O valor da semana pasada 232 , valor esta semana 432, valor resultado : True y valor probabilidad 54,89 "
"2025-11-25 13:56:45","O valor da semana pasada 1 , valor esta semana 432, valor resultado : False y valor probabilidad 49,59 "
"2025-11-25 19:37:09","O valor da semana pasada 122 , valor esta semana 123, valor resultado : True y valor probabilidad 58,54 "
"2025-11-25 19:39:18","O valor da semana pasada 123 , valor esta semana 1, valor resultado : True y valor probabilidad 68,74 "
"2025-11-25 19:45:17","O valor da semana pasada 2311 , valor esta semana 21312, valor resultado : False y valor probabilidad 48,36 "
"2025-11-25 19:49:01","O valor da semana pasada 20 , valor esta semana 10, valor resultado : False y valor probabilidad 39,55 "
"2025-12-03 13:57:55","O valor da semana pasada 11 , valor esta semana 14, valor resultado : False y valor probabilidad 38,60 "
"2025-12-03 13:59:15","O valor da semana pasada 11 , valor esta semana 14, valor resultado : False y valor probabilidad 38,60 "
"2025-12-03 14:11:25","O valor da semana pasada 123 , valor esta semana 300, valor resultado : True y valor probabilidad 70,30 "
"2025-12-03 16:50:18","O valor da semana pasada 123 , valor esta semana 300, valor resultado : True y valor probabilidad 70,30 "
"2025-12-03 16:53:41","O valor da semana pasada 78 , valor esta semana 999, valor resultado : True y valor probabilidad 56,53 "
"2025-12-03 19:32:39","O valor da semana pasada 123 , valor esta semana 30, valor resultado : True y valor probabilidad 71,02 "
"2025-12-03 19:34:08","O valor da semana pasada 300 , valor esta semana 40, valor resultado : False y valor probabilidad 49,12 "
